-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2000 through 12/31/2025 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
RH2M     MERRA-2 Relative Humidity at 2 Meters (%) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
RH2M,2000,29.5,68.125,24.27,20.6,12.37,8.84,15.91,14.11,29.5,26.33,22.57,9.59,15.36,24.36,18.68
RH2M,2000,29.5,68.75,29.18,25.48,14.43,10.31,19.92,18.54,35.43,31.71,26.93,11.18,17.67,25.12,22.18
RH2M,2000,29.5,69.375,29.38,25.95,14.34,10.32,19.97,19.37,35.92,32.4,27.66,11.53,18.08,25.16,22.53
RH2M,2000,29.5,70.0,27.22,25.49,14.63,10.07,18.63,19.64,35.14,30.79,26.38,10.64,16.7,22.39,21.49
RH2M,2000,29.5,70.625,28.96,28.61,17.38,12.12,20.03,21.48,33.91,30.86,26.99,11.67,17.53,23.82,22.78
RH2M,2001,28.0,65.625,34.13,30.01,22.74,24.12,14.57,16.57,35.19,24.18,15.11,14.55,22.45,39.74,24.45
RH2M,2001,28.0,66.25,32.24,28.94,22.83,26.14,14.84,18.43,43.95,29.05,17.98,14.75,21.3,38.65,25.78
RH2M,2001,28.0,66.875,26.25,24.14,19.15,23.35,14.39,20.59,45.72,32.16,21.2,13.33,18.88,33.22,24.4
RH2M,2001,28.0,67.5,20.22,17.14,14.16,17.47,14.55,21.23,38.29,29.15,21.78,10.89,15.28,25.65,20.53
RH2M,2001,28.0,68.125,21.34,16.23,14.46,17.76,21.56,28.09,38.46,33.33,25.82,11.34,15.61,25.06,22.48
RH2M,2001,28.0,68.75,22.24,15.96,16.12,20.79,27.19,33.14,41.31,36.93,28.35,13.48,16.6,25.57,24.88
RH2M,2001,28.0,69.375,22.78,16.18,17.26,21.96,29.49,34.36,42.78,38.66,29.53,14.93,17.54,26.17,26.05
RH2M,2001,28.0,70.0,22.99,16.46,17.44,21.76,30.08,34.51,45.04,41.07,29.91,16.15,17.49,26.4,26.7
RH2M,2001,28.0,70.625,23.35,16.91,17.09,21.04,30.26,34.3,47.52,43.78,30.53,17.51,17.53,26.43,27.29
RH2M,2001,28.5,65.625,33.69,29.11,21.8,21.02,12.36,13.83,29.68,20.38,13.59,13.52,20.2,36.97,22.18
RH2M,2001,28.5,66.25,36.39,32.35,25.52,25.82,14.39,17.9,41.83,27.45,18.45,15.84,22.6,41.38,26.67
RH2M,2001,28.5,66.875,28.41,26.54,21.0,22.86,14.02,20.76,45.54,30.79,22.0,13.73,19.5,34.53,25.0
RH2M,2001,28.5,67.5,20.37,17.54,14.38,16.52,13.64,21.0,37.22,27.38,21.78,10.31,14.76,24.93,20.02
RH2M,2001,28.5,68.125,21.39,16.53,14.76,17.16,19.57,27.29,37.4,31.33,25.07,11.08,15.36,24.52,21.84
RH2M,2001,28.5,68.75,20.31,15.01,14.83,19.29,23.63,31.41,39.65,34.62,26.64,11.74,15.25,23.77,23.08
RH2M,2001,28.5,69.375,21.3,16.08,16.12,20.49,25.68,32.88,41.21,36.94,28.44,13.22,16.47,25.55,24.6
RH2M,2001,28.5,70.0,23.73,17.84,17.94,22.21,27.3,33.01,42.41,38.75,28.83,15.23,17.59,27.47,26.1
RH2M,2001,28.5,70.625,25.18,17.93,17.62,21.63,27.62,32.3,43.61,40.19,28.71,16.41,17.56,28.45,26.52
RH2M,2001,29.0,65.625,40.06,32.1,22.8,19.7,11.42,11.95,26.44,18.19,12.92,13.91,20.12,38.18,22.3
RH2M,2001,29.0,66.25,42.87,36.09,26.9,23.69,13.45,15.34,35.84,23.45,17.06,15.9,22.88,43.28,26.39
RH2M,2001,29.0,66.875,37.01,32.8,24.87,23.37,14.41,20.45,45.58,29.62,22.77,15.36,21.76,39.51,27.3
RH2M,2001,29.0,67.5,22.35,18.9,15.23,15.81,13.1,21.34,37.59,26.37,22.6,10.38,14.78,25.91,20.39
RH2M,2001,29.0,68.125,21.6,17.04,15.2,16.65,18.09,27.25,37.5,29.88,26.79,10.95,14.92,24.6,21.75
RH2M,2001,29.0,68.75,21.39,16.51,16.55,20.26,22.71,33.22,43.62,35.25,28.42,11.85,16.08,25.52,24.34
RH2M,2001,29.0,69.375,22.63,17.49,17.45,20.71,23.9,35.23,45.8,37.93,31.83,13.33,17.37,27.5,26.0
RH2M,2001,29.0,70.0,23.76,17.97,17.53,21.9,23.44,32.62,43.41,37.23,28.41,13.55,16.61,27.07,25.36
RH2M,2001,29.0,70.625,29.07,19.6,18.3,22.17,24.21,30.87,41.92,37.76,27.89,15.36,17.52,30.27,26.32
RH2M,2001,29.5,65.625,39.32,34.33,24.42,19.81,11.29,10.49,22.93,16.23,12.14,14.24,19.94,38.38,21.93
RH2M,2001,29.5,66.25,42.53,37.74,26.87,21.3,12.1,12.82,30.31,19.74,14.93,14.74,21.23,41.53,24.62
RH2M,2001,29.5,66.875,44.97,39.41,27.74,23.09,13.78,18.5,43.04,27.27,21.95,15.83,22.4,42.28,28.34
RH2M,2001,29.5,67.5,27.12,21.64,17.26,16.25,12.67,21.69,38.66,26.19,23.66,11.0,15.35,27.71,21.63
RH2M,2001,29.5,68.125,22.56,17.93,16.12,16.8,16.64,26.85,38.71,28.8,27.78,10.95,14.67,25.23,21.96
RH2M,2001,29.5,68.75,24.72,20.02,19.67,22.88,21.3,33.17,46.44,34.24,29.52,12.36,17.05,28.68,25.89
RH2M,2001,29.5,69.375,24.84,19.59,19.38,22.2,21.44,33.67,46.31,35.6,32.07,13.45,17.53,29.2,26.33
RH2M,2001,29.5,70.0,25.92,18.1,17.76,22.45,20.23,31.19,44.67,34.74,27.38,12.61,16.0,27.75,24.96
RH2M,2001,29.5,70.625,33.08,20.35,18.55,22.45,20.98,29.47,41.19,35.02,27.65,14.15,16.93,31.62,26.02
RH2M,2002,28.0,65.625,34.31,31.18,24.22,19.06,15.16,12.93,17.14,26.4,13.72,12.68,31.99,42.83,23.45
RH2M,2002,28.0,66.25,32.33,31.81,25.58,19.56,15.08,15.08,18.75,29.82,16.74,14.18,33.41,40.79,24.4
RH2M,2002,28.0,66.875,26.64,27.14,22.47,17.11,12.8,17.83,19.68,32.73,20.34,13.78,30.25,33.84,22.87
RH2M,2002,28.0,67.5,20.23,19.37,16.95,12.76,9.95,19.43,22.74,29.79,19.89,11.73,23.05,25.06,19.25
RH2M,2002,28.0,68.125,19.49,18.65,17.0,13.19,12.81,25.33,30.58,32.23,27.38,12.54,22.03,23.99,21.28
RH2M,2002,28.0,68.75,19.46,20.35,18.11,15.68,17.95,27.72,33.82,34.26,32.38,14.85,22.13,25.38,23.52
RH2M,2002,28.0,69.375,20.05,21.28,18.82,16.66,20.14,28.2,34.86,35.0,32.75,16.18,22.5,26.57,24.44
RH2M,2002,28.0,70.0,20.58,22.07,18.86,16.42,21.26,27.85,34.7,34.91,32.1,16.62,22.47,26.54,24.55
RH2M,2002,28.0,70.625,21.55,22.51,18.66,16.06,21.69,27.61,34.5,34.64,31.43,16.62,22.94,26.26,24.56
RH2M,2002,28.5,65.625,32.58,29.03,22.06,17.9,15.08,10.67,14.42,22.41,12.41,11.81,29.84,42.92,21.75
RH2M,2002,28.5,66.25,35.31,34.02,27.28,20.98,17.92,13.68,17.66,28.23,16.38,15.12,34.63,45.75,25.56
RH2M,2002,28.5,66.875,28.2,28.21,23.22,17.96,14.53,15.72,18.79,32.27,19.99,14.02,30.51,36.88,23.34
RH2M,2002,28.5,67.5,19.91,18.86,16.11,12.42,9.76,16.44,21.13,28.28,18.89,10.86,21.99,24.77,18.29
RH2M,2002,28.5,68.125,19.11,17.87,16.62,12.69,11.03,21.96,27.87,30.23,24.72,12.14,21.92,23.69,20.0
RH2M,2002,28.5,68.75,17.87,18.15,16.94,13.5,14.06,24.78,31.04,31.98,28.82,12.94,21.0,24.46,21.31
RH2M,2002,28.5,69.375,19.06,19.81,18.13,14.69,16.19,25.92,32.64,33.21,29.45,14.7,21.63,26.03,22.64
RH2M,2002,28.5,70.0,20.99,22.48,20.1,15.85,18.24,26.12,32.65,33.29,29.81,16.83,23.16,27.51,23.93
RH2M,2002,28.5,70.625,21.81,23.67,20.18,15.56,18.88,25.26,31.83,32.58,29.16,17.39,23.75,28.1,24.02
RH2M,2002,29.0,65.625,33.73,29.23,21.67,18.02,15.85,9.91,12.95,19.45,11.29,11.82,30.57,46.29,21.72
RH2M,2002,29.0,66.25,37.02,34.6,26.66,20.84,19.59,12.28,15.77,23.45,14.2,14.65,34.41,48.35,25.13
RH2M,2002,29.0,66.875,32.79,31.88,25.39,19.77,17.06,14.53,18.57,30.72,19.08,15.04,32.7,42.82,25.01
RH2M,2002,29.0,67.5,20.54,19.44,15.72,12.54,9.8,14.58,19.61,27.43,17.93,10.53,21.64,26.12,17.99
RH2M,2002,29.0,68.125,19.22,17.77,16.27,12.48,9.75,19.53,25.56,29.16,22.7,11.76,21.7,24.1,19.18
RH2M,2002,29.0,68.75,19.3,19.02,18.05,13.93,11.07,23.91,30.21,32.95,27.2,13.27,22.57,26.65,21.53
RH2M,2002,29.0,69.375,20.69,21.11,19.1,14.97,12.74,24.95,32.45,34.56,28.5,15.04,23.44,28.28,23.0
RH2M,2002,29.0,70.0,20.72,21.91,20.0,14.78,14.14,23.54,30.64,32.29,27.41,15.82,22.72,27.11,22.6
RH2M,2002,29.0,70.625,23.01,24.59,22.19,15.31,16.3,23.36,29.7,31.06,27.72,17.64,24.08,29.26,23.69
RH2M,2002,29.5,65.625,34.34,29.76,20.95,17.63,14.45,9.97,12.1,16.45,10.15,11.94,29.54,42.55,20.79
RH2M,2002,29.5,66.25,35.92,32.81,23.76,19.09,17.53,11.22,13.75,19.08,11.9,13.19,31.75,45.41,22.92
RH2M,2002,29.5,66.875,35.86,34.28,25.28,19.98,17.7,13.13,17.04,27.3,16.66,14.85,33.17,45.92,25.07
RH2M,2002,29.5,67.5,22.1,21.26,16.36,13.38,9.99,13.55,17.95,26.69,17.2,10.91,22.3,28.45,18.34
RH2M,2002,29.5,68.125,19.43,18.48,16.16,12.92,8.54,17.01,22.85,28.06,20.75,11.55,21.62,25.12,18.55
RH2M,2002,29.5,68.75,21.94,21.52,20.17,16.08,9.89,21.12,26.66,32.07,26.2,14.29,25.24,29.98,22.1
RH2M,2002,29.5,69.375,22.19,22.56,20.51,16.24,10.19,21.1,26.87,32.6,27.43,15.44,25.6,30.09,22.57
RH2M,2002,29.5,70.0,21.17,22.17,20.04,14.99,10.5,19.31,25.41,30.47,26.08,15.49,23.45,27.24,21.36
RH2M,2002,29.5,70.625,23.55,24.69,22.66,15.57,13.42,20.2,26.41,29.49,26.66,17.47,24.22,29.15,22.79
RH2M,2003,28.0,65.625,40.66,41.41,28.05,21.92,17.75,15.31,44.82,29.84,17.27,14.48,22.22,32.61,27.17
RH2M,2003,28.0,66.25,40.17,42.69,28.17,20.97,17.24,17.15,51.53,37.6,20.47,15.28,21.22,31.9,28.68
RH2M,2003,28.0,66.875,33.54,37.59,24.33,17.3,14.0,18.36,53.14,43.61,24.38,14.0,18.17,27.34,27.14
RH2M,2003,28.0,67.5,26.11,29.67,18.14,12.56,9.74,17.31,45.62,40.68,24.44,11.29,15.43,21.91,22.74
RH2M,2003,28.0,68.125,25.52,29.5,17.53,13.21,10.3,20.14,45.37,41.55,29.8,11.37,17.32,24.44,23.83
RH2M,2003,28.0,68.75,25.7,31.7,18.5,14.98,13.28,25.54,47.98,42.65,33.61,12.75,19.9,27.49,26.16
RH2M,2003,28.0,69.375,26.36,32.48,18.72,16.0,14.55,27.96,47.9,44.13,35.88,14.04,19.96,28.18,27.16
RH2M,2003,28.0,70.0,26.66,32.76,18.52,16.43,15.04,29.26,47.95,45.35,37.43,14.9,19.67,27.28,27.58
RH2M,2003,28.0,70.625,27.12,32.06,18.56,16.89,15.53,30.35,48.29,46.1,38.78,16.28,19.36,28.07,28.1
RH2M,2003,28.5,65.625,38.02,40.02,26.99,20.91,15.85,13.56,38.61,25.22,15.13,13.27,20.68,30.83,24.88
RH2M,2003,28.5,66.25,43.41,47.39,30.9,22.66,18.45,17.19,50.31,34.77,19.58,16.32,23.08,34.52,29.84
RH2M,2003,28.5,66.875,35.49,40.72,26.01,18.39,14.86,18.1,53.49,43.46,23.14,14.31,18.81,28.57,27.93
RH2M,2003,28.5,67.5,25.39,29.74,18.38,12.42,9.51,16.18,43.95,40.79,23.04,10.54,14.19,20.88,22.08
RH2M,2003,28.5,68.125,24.35,29.63,17.98,12.55,9.28,17.56,44.03,41.36,28.57,11.08,15.85,22.21,22.86
RH2M,2003,28.5,68.75,23.32,30.89,17.64,13.09,9.74,20.65,46.29,41.93,31.77,11.54,16.4,22.9,23.83
RH2M,2003,28.5,69.375,25.06,33.7,18.85,14.38,10.55,23.28,48.46,44.04,33.95,12.89,18.22,25.58,25.72
RH2M,2003,28.5,70.0,26.79,36.34,19.99,15.94,12.39,25.75,47.04,43.21,35.15,14.44,19.08,27.68,26.94
RH2M,2003,28.5,70.625,27.69,35.55,20.02,16.37,13.23,27.05,46.1,42.87,35.73,15.49,19.15,28.51,27.28
RH2M,2003,29.0,65.625,39.56,41.39,27.84,21.88,15.63,12.7,36.04,22.26,13.74,13.24,21.48,31.92,24.75
RH2M,2003,29.0,66.25,44.67,48.87,32.35,23.74,18.63,15.55,45.81,29.34,17.01,15.93,24.16,36.37,29.31
RH2M,2003,29.0,66.875,40.98,46.12,30.03,21.53,17.26,17.69,54.55,42.25,22.0,15.61,21.43,33.12,30.19
RH2M,2003,29.0,67.5,26.35,31.08,19.66,13.08,10.2,15.55,43.49,41.3,22.07,10.4,13.79,21.12,22.34
RH2M,2003,29.0,68.125,24.29,30.04,19.11,12.58,9.39,16.61,43.51,41.82,28.36,10.73,14.17,21.5,22.67
RH2M,2003,29.0,68.75,24.88,33.87,19.45,13.53,9.62,19.21,52.11,46.28,33.19,11.97,15.4,23.52,25.24
RH2M,2003,29.0,69.375,26.84,36.89,20.88,14.83,10.04,20.97,52.64,49.14,36.01,13.48,16.55,26.54,27.04
RH2M,2003,29.0,70.0,25.95,36.8,20.43,15.06,9.86,21.52,48.28,42.66,33.78,13.46,16.84,27.15,25.94
RH2M,2003,29.0,70.625,27.9,38.4,21.69,16.02,11.01,23.15,44.53,40.67,33.81,14.95,18.5,28.74,26.56
RH2M,2003,29.5,65.625,40.0,41.48,28.14,21.71,16.35,12.02,33.93,19.16,12.52,13.32,21.7,31.91,24.29
RH2M,2003,29.5,66.25,42.24,46.48,31.33,23.23,17.65,13.45,41.31,24.63,14.42,14.34,22.68,34.3,27.11
RH2M,2003,29.5,66.875,43.82,48.63,33.27,23.55,18.39,16.14,52.83,38.77,19.42,15.56,22.77,35.46,30.68
RH2M,2003,29.5,67.5,28.25,33.98,22.26,14.59,11.54,15.02,44.44,42.04,21.05,10.81,14.29,22.53,23.39
RH2M,2003,29.5,68.125,24.77,31.28,20.72,13.05,10.08,16.06,43.99,42.81,26.48,10.47,13.16,21.4,22.85
RH2M,2003,29.5,68.75,27.98,36.23,22.93,15.26,11.17,18.98,55.22,46.86,32.09,12.54,15.32,25.95,26.7
RH2M,2003,29.5,69.375,28.21,38.1,22.95,15.67,11.09,19.13,52.76,47.36,33.35,13.34,16.18,27.84,27.14
RH2M,2003,29.5,70.0,25.67,36.28,21.19,14.97,9.43,18.62,49.77,41.68,31.16,12.79,15.64,27.35,25.35
RH2M,2003,29.5,70.625,27.48,37.56,22.69,16.18,10.21,19.59,43.32,39.38,32.04,14.45,17.69,28.55,25.71
RH2M,2004,28.0,65.625,45.22,25.8,16.43,19.1,14.38,16.07,23.84,23.25,16.63,18.48,26.17,36.41,23.51
RH2M,2004,28.0,66.25,46.33,27.66,16.56,19.53,14.92,19.31,27.01,30.72,21.53,20.93,26.8,35.82,25.62
RH2M,2004,28.0,66.875,41.18,25.32,14.26,16.69,14.41,20.62,30.49,34.13,26.17,21.66,24.91,31.17,25.12
RH2M,2004,28.0,67.5,34.5,20.74,10.74,12.47,13.15,19.86,29.33,29.72,24.34,19.2,20.53,24.22,21.6
RH2M,2004,28.0,68.125,36.75,23.58,10.87,12.58,16.4,24.8,32.76,31.65,28.62,21.37,20.07,23.93,23.64
RH2M,2004,28.0,68.75,39.34,26.89,11.66,14.45,19.11,27.86,34.69,33.54,32.18,24.57,20.65,25.63,25.9
RH2M,2004,28.0,69.375,39.14,26.33,12.6,16.07,20.68,29.11,35.01,34.37,33.14,25.93,21.1,26.82,26.71
RH2M,2004,28.0,70.0,38.48,24.7,12.87,17.05,21.2,29.38,34.51,35.0,33.03,26.73,20.91,26.55,26.73
RH2M,2004,28.0,70.625,37.09,23.37,12.52,17.33,21.68,29.42,33.94,35.99,32.94,27.24,20.84,26.98,26.65
RH2M,2004,28.5,65.625,43.58,24.71,15.47,18.1,12.65,13.9,20.08,20.01,13.94,17.7,24.28,34.49,21.6
RH2M,2004,28.5,66.25,50.09,29.95,18.08,21.64,15.34,19.1,24.83,29.89,19.55,22.45,28.39,38.53,26.51
RH2M,2004,28.5,66.875,43.84,26.49,15.22,18.17,14.34,20.45,28.92,34.75,23.67,21.79,25.26,32.33,25.47
RH2M,2004,28.5,67.5,34.39,19.95,10.55,12.38,12.12,18.57,27.69,28.61,21.83,17.73,19.74,23.45,20.61
RH2M,2004,28.5,68.125,35.73,21.65,10.61,12.18,14.71,22.92,30.5,29.92,26.3,20.21,19.93,23.02,22.33
RH2M,2004,28.5,68.75,35.88,22.31,10.3,12.39,16.69,25.63,32.03,31.9,29.76,22.19,19.86,23.33,23.55
RH2M,2004,28.5,69.375,39.12,23.76,11.12,13.37,18.01,26.97,32.85,33.43,31.29,24.17,21.24,25.62,25.11
RH2M,2004,28.5,70.0,40.48,24.63,12.6,15.3,19.21,27.41,32.62,34.45,31.83,26.35,22.38,27.1,26.23
RH2M,2004,28.5,70.625,39.73,24.47,12.82,16.12,19.35,27.05,31.49,34.91,31.15,27.08,22.03,27.91,26.21
RH2M,2004,29.0,65.625,45.28,25.75,15.97,18.64,12.1,12.69,17.85,17.86,12.93,18.92,24.37,35.28,21.49
RH2M,2004,29.0,66.25,51.65,30.65,18.69,22.38,14.77,17.08,21.28,25.18,17.11,22.8,28.74,39.51,25.84
RH2M,2004,29.0,66.875,49.61,29.84,17.69,21.24,14.97,20.65,26.96,34.54,21.75,23.46,27.73,36.0,27.07
RH2M,2004,29.0,67.5,35.19,20.3,10.97,12.98,11.33,17.96,26.37,28.5,19.76,17.43,20.02,23.81,20.42
RH2M,2004,29.0,68.125,35.25,20.96,10.63,12.04,13.27,21.47,29.08,29.49,24.45,19.68,20.24,22.83,21.64
RH2M,2004,29.0,68.75,38.09,21.72,11.05,12.66,15.72,25.85,32.54,35.4,29.52,22.52,21.99,24.5,24.33
RH2M,2004,29.0,69.375,40.47,23.26,11.65,13.51,16.91,26.84,33.44,36.27,31.42,24.98,23.42,27.28,25.82
RH2M,2004,29.0,70.0,39.52,22.8,11.42,13.57,16.9,26.2,31.11,36.63,29.97,25.48,22.62,26.68,25.28
RH2M,2004,29.0,70.625,40.68,24.86,12.56,14.92,17.43,25.49,29.81,36.34,30.12,27.07,23.29,28.51,25.96
RH2M,2004,29.5,65.625,44.99,25.15,16.97,18.92,11.54,11.32,15.68,15.68,12.03,19.93,24.68,35.59,21.06
RH2M,2004,29.5,66.25,49.59,28.59,18.14,21.01,13.18,14.43,17.53,20.32,14.45,22.43,27.58,37.99,23.79
RH2M,2004,29.5,66.875,53.39,32.08,19.1,22.41,14.5,18.95,23.05,30.71,19.06,25.53,28.92,38.39,27.2
RH2M,2004,29.5,67.5,37.75,22.28,12.15,14.26,10.86,17.28,24.47,28.31,18.39,19.23,21.24,25.62,21.01
RH2M,2004,29.5,68.125,36.1,20.92,11.03,12.74,11.96,19.84,27.46,29.4,22.07,19.48,20.69,23.07,21.26
RH2M,2004,29.5,68.75,40.39,23.2,12.78,14.69,15.23,26.11,31.51,38.43,27.95,23.69,24.75,27.24,25.53
RH2M,2004,29.5,69.375,40.81,24.08,12.62,14.68,15.66,25.11,30.08,36.82,28.85,24.87,24.86,28.24,25.59
RH2M,2004,29.5,70.0,37.97,21.87,11.16,13.43,14.92,25.05,27.79,39.01,27.76,24.9,22.69,26.67,24.47
RH2M,2004,29.5,70.625,39.98,24.5,12.4,14.57,15.93,24.2,27.38,38.32,29.16,26.66,23.51,28.19,25.43
RH2M,2005,28.0,65.625,54.38,58.15,51.07,25.85,25.18,23.05,31.81,29.39,27.37,16.11,26.32,25.7,32.74
RH2M,2005,28.0,66.25,55.03,59.26,54.44,29.22,28.65,25.13,38.55,33.59,35.08,17.06,26.63,24.19,35.45
RH2M,2005,28.0,66.875,47.76,53.96,50.52,24.74,25.53,24.14,40.86,36.8,37.89,18.94,23.82,20.24,33.67
RH2M,2005,28.0,67.5,34.64,43.23,37.86,17.11,18.24,20.46,34.04,32.71,30.8,17.0,19.35,16.61,26.76
RH2M,2005,28.0,68.125,33.67,38.3,32.7,15.82,16.77,22.22,33.54,33.57,31.89,19.48,19.46,17.71,26.2
RH2M,2005,28.0,68.75,34.57,36.31,30.8,15.17,17.39,24.04,34.91,35.17,35.63,22.14,20.96,18.38,27.08
RH2M,2005,28.0,69.375,36.08,36.99,31.57,15.1,18.64,25.19,35.8,35.99,37.28,22.3,21.93,18.96,27.95
RH2M,2005,28.0,70.0,36.9,36.88,31.69,14.66,19.82,26.59,36.48,36.59,39.55,22.57,22.57,19.35,28.6
RH2M,2005,28.0,70.625,37.63,37.06,32.04,14.14,20.73,27.68,37.56,37.43,40.97,23.48,23.38,20.11,29.32
RH2M,2005,28.5,65.625,53.37,57.93,50.23,24.62,22.79,20.0,26.46,25.25,22.54,14.1,24.35,24.09,30.34
RH2M,2005,28.5,66.25,56.93,62.6,57.3,32.03,29.05,24.95,35.49,29.91,30.35,16.56,29.05,26.35,35.74
RH2M,2005,28.5,66.875,49.18,55.56,52.75,26.47,25.62,24.12,39.74,33.81,34.28,16.89,24.96,21.08,33.59
RH2M,2005,28.5,67.5,34.27,43.75,39.6,17.74,17.67,18.69,32.42,30.0,28.3,14.63,18.44,15.87,25.86
RH2M,2005,28.5,68.125,33.07,40.08,35.41,16.36,16.89,19.8,31.88,31.32,30.28,17.74,19.05,16.71,25.65
RH2M,2005,28.5,68.75,32.55,37.47,31.6,14.75,16.65,21.23,32.99,32.65,34.29,19.26,19.39,16.1,25.68
RH2M,2005,28.5,69.375,35.46,39.91,34.06,15.21,17.59,22.18,34.48,34.06,37.31,19.84,20.93,17.41,27.3
RH2M,2005,28.5,70.0,38.49,41.62,35.04,15.85,18.94,23.41,34.93,34.56,40.42,21.26,22.8,18.92,28.78
RH2M,2005,28.5,70.625,40.56,41.58,35.66,15.36,19.56,24.14,35.41,34.55,40.79,22.44,23.95,20.01,29.44
